w [t],x1,x2,x3,x4,x5
14.46850456,1.588,-0.164,0.972,0.364,-0.156
14.51216088,1.716,-1.62,1.388,0.164,-0.78
14.52677079,1.572,1.652,0.94,-0.124,1.772
14.57815848,1.228,-0.348,0.012,0.716,0.476
14.76094605,0.396,1.892,-1.02,0.82,1.604
14.77120006,0.46,-0.204,-1.852,-1.348,-1.972
14.8106049,0.348,-1.572,-1.26,-1.724,-1.684
14.83078568,0.356,-0.412,-1.396,-0.012,1.636
14.96642796,1.396,-0.9,0.524,1.924,-1.444
15.21900742,0.284,-1.796,-1.436,0.548,0.932
15.2947704,1.684,-0.236,1.5,0.788,-0.5
15.31280959,0.588,-0.612,-0.588,1.62,1.532
15.35842331,1.212,-1.5,0.132,-0.22,0.036
15.37096409,1.372,1.636,0.564,-0.908,1.956
15.45073313,1.164,1.18,0.06,0.156,0.908
15.47211407,-1.98,0.924,-1.564,1.532,-0.732
15.59155727,0.204,1.86,-1.1,-0.924,-0.26
15.61578646,-1.988,-0.94,-0.828,-0.364,1.116
15.62348415,0.756,0.42,-0.388,1.052,1.132
15.68224799,1.708,1.348,1.98,-0.532,1.588
15.72914321,0.196,-0.62,-1.524,-0.692,-0.9
15.7335445,0.844,-1.196,-0.292,-0.212,-1.284
15.75434622,1.276,1.412,0.38,1.02,-0.972
15.75991488,-1.972,-0.052,-1.588,0.428,0.596
15.9307601,0.324,1.124,-0.756,-0.436,-1.732
15.942746,0.388,1.188,-0.684,-0.028,-1.868
15.96490365,-1.996,-1.14,-0.644,-1.268,1.66
16.04219211,0.22,-1.228,-1.884,1.188,-1.676
16.19474382,0.092,-1.932,-1.036,0.828,0.788
16.19664228,0.596,-1.444,-0.452,0.692,1.82
16.35968998,0.18,0.252,-1.972,-0.636,1.068
16.45607238,0.084,-1.924,-1.708,-0.348,-1.74
16.46390569,-0.004,-0.396,-1.164,-1.916,-1.956
16.63342278,-1.94,0.988,-1.7,0.62,-1.212
16.7980471,1.636,-0.908,1.956,-0.444,-0.62
16.85499634,-0.012,-1.1,-0.94,0.676,-1.892
16.85622868,-0.092,-1.092,-1.132,1.476,-1.524
17.00618826,-0.02,1.876,-1.78,-0.468,-0.548
17.03660935,0.004,1.292,-0.86,1.5,-1.092
17.15124327,0.82,-1.172,-0.132,-0.788,-1.116
17.22915,-1.876,-1.612,-1.116,-0.108,-0.94
17.25613229,-0.076,1.012,-1.788,1.38,-0.252
17.29675769,-0.124,0.54,-1.66,-1.732,0.02
17.31883533,-0.172,-1.076,-1.028,-1.364,0.436
17.36704367,0.132,-0.172,-0.668,1.3,1.876
17.36831043,0.188,0.748,-0.62,0.332,1.748
17.39175789,1.58,1.46,1.828,1.18,1.868
17.40024051,-0.148,-1.596,-0.948,1.364,-0.676
17.57903083,1.124,0.716,0.436,-1.452,0.764
17.60494767,-0.108,1.556,-1.932,0.468,-0.364
17.6339738,0.068,0.452,-0.676,-1.372,1.012
17.63685541,-1.844,-0.196,-1.476,-0.084,-0.1
17.76238776,0.308,-0.628,-0.476,1.756,-0.908
17.76532516,-1.812,0.932,-1.276,1.724,1.756
17.76992796,0.14,-0.564,-0.596,1.324,0.38
17.83859581,-0.372,1.02,-1.3,0.092,-1.932
